cluster_id,filename,title,department,employee_group,family,band,restricted,is_representative,drift_vs_representative
cb884550-6e9a-5986-8d2c-6306063672c8,20200722_00128954_JDFN_APEX_20200722.docx,The Human Resources Professional I is part of the Labour and Employee Relations team and plays a key role assisting in providing information and services to faculty and staff related to collective agr,,poly,unmapped,,True,False,minor
cb884550-6e9a-5986-8d2c-6306063672c8,20210330_00130445_JDFN_APEX_20210304.docx,"We are Canada’s engaged university, defined by our dynamic integration of innovative education, cutting-edge research, and far-reaching community engagement.",,apsa,unmapped,,False,True,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20230105_00130445_JDFN_APEX_20230105.docx,"We are Canada’s engaged university, defined by our dynamic integration of innovative education, cutting-edge research, and far-reaching community engagement.",,apsa,unmapped,,False,False,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20230106_00136319_00130445_JDFN_APEX_20240926.docx,"We are a leading research university, advancing an inclusive and sustainable future. Our purpose – the essence of SFU – is to create and connect knowledge, learning and community for deeper understand",,apsa,unmapped,,False,False,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20230107_00136319^00138455_JDFN_APEX_20260514.docx,"We are a leading research university, advancing an inclusive and sustainable future. Our purpose – the essence of SFU – is to create and connect knowledge, learning and community for deeper understand",,apsa,unmapped,,False,False,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20240926_00136319_00130445_JDFN_APEX_20240926.docx,"We are a leading research university, advancing an inclusive and sustainable future. Our purpose – the essence of SFU – is to create and connect knowledge, learning and community for deeper understand",,apsa,unmapped,,False,False,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20240927_00136319^00138455_JDFN_APEX_20260514.docx,"We are a leading research university, advancing an inclusive and sustainable future. Our purpose – the essence of SFU – is to create and connect knowledge, learning and community for deeper understand",,apsa,unmapped,,False,False,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20250221_00136826_JDFN_APEX_20250221.docx,"We are a leading research university, advancing an inclusive and sustainable future. Our purpose – the essence of SFU – is to create and connect knowledge, learning and community for deeper understand",,,unmapped,,False,False,aligned
cb884550-6e9a-5986-8d2c-6306063672c8,20260514_00136319^00138455_JDFN_APEX_20260514.docx,"We are a leading research university, advancing an inclusive and sustainable future. Our purpose – the essence of SFU – is to create and connect knowledge, learning and community for deeper understand",,apsa,unmapped,,False,False,aligned
88c49896-80f8-5e7c-af8b-3b4e117d7df4,"20061102_Clerk,_grade_6_(Admissions_and_Records).doc",Untitled Position,,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20070214_00101647Secretary.doc,Untitled Position,,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,"20070423_00101685Secretary,_Grade_6.doc",Athletics,,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20071119_103194_FINAL.doc,Untitled Position,FASS at Surrey,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20071120_00103194_Secretary.doc,Untitled Position,FASS at Surrey,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,"20071211_0000476,_Secretary_gr6.doc",Untitled Position,Political Science,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20071215_20181004_00001417_Secretary.doc,Untitled Position,Economics,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20080219_00103611_Secretary_gr6.doc,Untitled Position,Education,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20080313_00080339_Clerk_Typist.doc,Untitled Position,Office of Research,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20080522_00006494_Clerk_Typist.doc,Untitled Position,Economics,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20080729_00031816_Secretary.doc,Untitled Position,Linguistics,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20080916_00103194_Secretary_CU_16Sep08.doc,Untitled Position,FASS at Surrey,cupe,unmapped,,False,False,major
88c49896-80f8-5e7c-af8b-3b4e117d7df4,20090130_00105391_Clerk_Typist.doc,Untitled Position,Faculty of,cupe,unmapped,,False,False,minor
