filename_a,filename_b,jaccard,cosine,same_position,human_label
19920507_00007137Technician.doc,19920507_00007506Technician.doc,0.8556,,False,
20060701_00001354ITP_III.doc,20190826_00108080_ITP_III.doc,0.8841,,False,
20060701_00098283ITP_V.doc,"20080109_00103408_ITP_V,_Director_IT_Infrastructure.doc",0.8673,,False,
20081015_00064878_ITP_II.doc,20190828_00000888ITP_II.doc,0.8827,,False,
20110304_00109293_ITP_I.doc,20190826_00109900_ITP_I.doc,0.8543,,False,
20110810_00105647_Academic_Advisor.docx,20120906_00112278_Academic_Advisor.doc,0.8656,,False,
20120504_00097156_ITP_II.doc,20120316_00104919_ITP_II.doc,0.8874,,False,
20121023_00112550_ITP_III.doc,20060701_00001220ITP_III.doc,0.8839,,False,
20130628_00031142_Technician.docx,20180801_00120375_Technician.docx,0.8671,,False,
20160504_00119164_Clerk_Typist.docx,20150423_00099951_Clerk_Typist.docx,0.8547,,False,
20180228_00121073_Recruitment_Acdmc_and_Stdnt_Affrs_Advsr.docx,20160525_00001835_RcrtmntAcdmcStudAffrs_Advisor.docx,0.8570,,False,
20190724_00098450_Indigenous_Student_Recruitment_Coord.docx,20190606_00102160_Student_Recruitment_Coordinator.docx,0.8762,,False,
20190826_00106769_ITP_III.doc,20060701_00097295ITP_III.doc,0.8773,,False,
20190828_00001246ITP_I.doc,20120221_00111234_ITP_I.doc,0.8697,,False,
20190829_00096958_ITP__I.doc,20110830_00110209_ITP_I.doc,0.8808,,False,
20210423_00130714_JDFN_APSA_20210506.docx,20210423_00130652_JDFN_APSA_20210423.docx,0.8808,,False,
19990113_00030218Clerk_Typist.doc,20030923_00030218Clerk_typist_Sep2003.doc,0.8768,,True,
20061019_00001992_Scheduling_Assistant.rtf,20050513_00001992Clerk.doc,0.8833,,True,
20100527_00000460_Ugrad_Advisor_Recruiter.docx,20180902_00000460_Ugrad_Advisor_Recruiter.docx,0.8747,,True,
20120501_00031482_Administrative_Assistant.docx,20130110_00031482_Administrative_Assistant.docx,0.8565,,True,
20140908_00000374_Technician.docx,20201029_00000374_JDFN_CUPE_20201029.docx,0.8800,,True,
20151015_00006240_Exec_Dir_SFU_Childcare_Sc.docx,20190113_00006240_Exec_Dir_SFU_Childcare_Sc.docx,0.8652,,True,
20170320_00119316_Director_Radius.docx,20160613_00119316_Director_RADIUS.docx,0.8820,,True,
20180116_00121698_Project_Manager.docx,20201028_00121698_JDFN_APSA_20190710.docx,0.8836,,True,
20180709_00006725_Technician.docx,20190113_00006725_Technician.docx,0.8533,,True,
20190506_00031774_Technician.docx,20130628_00031774_Technician.docx,0.8530,,True,
20190816_00125568_Executive_Secretary.docx,20211010_00125568_JDFN_APSA_20211010.docx,0.8505,,True,
20200227_00109742_JDFN_APSA_20200227.docx,20180704_00109742_Director_International_Office.docx,0.8800,,True,
20201028_00123432_JDFN_APSA_20180816.docx,20220616_00123432_JDFN_APSA_20220616.docx,0.8605,,True,
20210810_00122676_JDFN_APSA_20210810.docx,"20200325_00128384,_00122676_JDFN_APSA_20200325.docx",0.8824,,True,
20220330_00112602_VPFN_APSA_20220330.docx,20170801_00112602_Gvrnmt_Cmnty_Rltns_Officer.docx,0.8786,,True,
20231106_00130317_JDFN_APSA_20231107.docx,20240220_00130317_00138316_JDFN_APSA_20260417.docx,0.8757,,True,
20020324_00001323Psychologist.doc,20061205_1323.doc,0.8518,,,
20040812_00031634Registered_nurse.doc,20061205_30633.doc,0.8688,,,
20060503_30485_ITP_IV_NIES_Gr_13.doc,20190829_00062394_ITP_IV.doc,0.8854,,,
20060701_00030478ITP_V.doc,20080109_0031223_ITP_V_UCS.doc,0.8677,,,
20061029_1459.doc,20020718_00001605Student_recruiter.doc,0.8787,,,
"20070112_Technician,_gr_9,_01818,_Faculty_of_Ed,_CET.doc",20120824_00001818_Technician.doc,0.8646,,,
20070719_31634_registered_nurse.doc,20061205_30633.doc,0.8593,,,
20070911_31842_Student_Recruiter.doc,20020718_00001605Student_recruiter.doc,0.8757,,,
"20080303_000575_Program_Mgr,_Ugrad,_Education.doc",20050207_00000575Asst_to_dir_UG_prog.doc,0.8699,,,
20090429_00031756_Academic_Advisor.doc,20061029_1867.doc,0.8598,,,
20120103_110969ITPI.doc,20060701_00099004ITP_I.doc,0.8817,,,
20120105_111020ITPII.doc,20120504_00097156_ITP_II.doc,0.8800,,,
20121003_00112390_ITP_II.doc,20120105_111020ITPII.doc,0.8627,,,
20190827_104056_IT_Practitioner.doc,20080417_00106095_ITP_I.doc,0.8664,,,
20201021_00099533_JDFN_APSA_20201021.doc,"20070628_99533_Campus_Space_Coordinator,__grade_7.doc",0.8549,,,
20230727_942^_121341_JDFN_APSA_20230804.docx,20230825_00097828_JDFN_APSA_20230828.docx,0.8700,,,
19960608_00000216Head_swim_coach.doc,19960608_00000220Head_wrestling_coach.doc,0.9108,,False,
20060701_00001252ITP_III.doc,20091211_00099045_ITP_III.doc,0.9108,,False,
20060701_00076035ITP_II.doc,20190829_00031043_ITP_II.doc,0.9005,,False,
"20070105_00099004__ITP_II_,ACS.doc",20060701_00097768ITP_II.doc,0.9209,,False,
20081015_00064878_ITP_II.doc,20060701_00030568ITP_II.doc,0.8996,,False,
20090401_00099004_ITP_III.doc,20190828_00100773_ITP_III.doc,0.8956,,False,
20110104_00109013_ITP_I.doc,20080721_00104484_ITP_I.doc,0.8997,,False,
20110616_00105892_Learning_Services_Coordinator.doc,20090522_00001663_Learning_Serv_Coor.doc,0.9176,,False,
20111213_00110776_ITP_II.doc,20060701_00096532ITP_II.doc,0.8882,,False,
20120919_00001797_ITP_I.doc,20120528_00111711_ITP_I.doc,0.8922,,False,
20130103_00001226_ITP_III.doc,20060701_00000694ITP_III.doc,0.9043,,False,
20160502_00119055_Library_Assistant.docx,20140528_00000833_Library_Assistant.docx,0.8972,,False,
20190317_00125876_Coord_Client_Services.docx,20130923_00114241_Client_Service_Coodinator.docx,0.9071,,False,
20190826_00111227_ITP_II.doc,20081027_00001418_ITP_II.doc,0.8891,,False,
20190828_00098988_ITP_III.doc,20060701_00099565ITP_III.doc,0.8948,,False,
20190829_00096532_ITP_III.doc,20060701_00030516ITP_III.doc,0.9104,,False,
19881101_00006642Intermediate_analyst.doc,20070717_00006642_AP_Intermediate_analyst.doc,0.8889,,True,
"20070124_00097834,Secretary,_gr7,_Education.doc",20111115_00097834_Secretary.doc,0.8992,,True,
20090522_00001663_Learning_Serv_Coor.doc,20110616_00001663_Learning_Services_Coordinator.doc,0.9176,,True,
20111219_00110740_Coord_Mrktng_Cmns.docx,20150821_00110740_Coord_Mrkting_Cmmnctns.docx,0.8973,,True,
20130710_00113197_Financial_Analyst.docx,20140129_00113197_Assocaite_Director_Student_Financials.docx,0.9059,,True,
20150910_00108953_Communications_Officer.docx,20141209_00108953_Communications_Officer.docx,0.9064,,True,
20160826_00001072_Director_Grad_Admissions.docx,20091215_00001072_Director_Grad_Admissions.doc,0.9136,,True,
20171101_00111315_Secretary.docx,20120304_00111315_Secretary.docx,0.9213,,True,
20180620_00122743_Technology_Coordinator.docx,20171127_00122743_Technology_Coordinator.docx,0.9119,,True,
20190306_00123506_Coord_Financial_Admin.docx,20180406_00123506_Coord_Financial_Admin.docx,0.9025,,True,
20190814_00123563_Research_Grants_Officer.docx,20221001_00123563^00138590_APSA_JDFN_20260625.docx,0.9026,,True,
20191212_00123017_JDFN_APSA_20191121.docx,20180213_00123017_Research_Grants_Navigator_SPOR.docx,0.9244,,True,
"20200602_00124158,_00137283_JDFN_APSA_20250722.docx",20200601_00124158_JDFN_APSA_20211118.docx,0.9034,,True,
20210201_00121982_JDFN_APSA_20210201.docx,20200727_00121982_JDFN_APSA_20200817.docx,0.9070,,True,
20220219_00111179_JDFN_APSA_20220219.docx,20190127_00111179_Communications_Officer.docx,0.9020,,True,
20230505_00134209_00135792_JDFN_APSA_20240604.docx,20230503_00134209_JDFN_APSA_20230502.docx,0.8944,,True,
20000601_00031203Mgr_sci_enviro_coop_educ.doc,"20090415_31203Mgr_sci_enviro_coop_educ_revised_April_15,_09.doc",0.8993,,,
