filename_a,filename_b,score,vector_score,skill_overlap,seniority,family_a,family_b,same_function,restricted,human_label
20130404_00113271_Coordinator_Group_Sales_and_Services.doc,20140328_00115104_Coord_Group_Sales.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,False,True,
20070703_00031911_CU_Receptionist_3Jul07.doc,20000316_00031911Clerk_Typist.doc,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20080101_00064625_Prog_Dir_Jan08.doc,20000601_00064625Program_director.doc,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20100607_00000559_Program_Director.docx,20100607_00099077_Program_Director.doc,0.0700,0.0000,0.0000,0.7000,director,director,True,False,
20120814_00096592_Technician.doc,"20120814_336,_Technician,_Gr._7.doc",0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20120814_00096592_Technician.doc,"20120814_336,_Technician,_Gr._7.docx",0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20120814_00096592_Technician.doc,20120814_336_Technician_Gr._7_CU_14Aug12.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20120814_336,_Technician,_Gr._7.doc",20120814_336_Technician_Gr._7_CU_14Aug12.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20120814_336,_Technician,_Gr._7.docx","20120814_336,_Technician,_Gr._7.doc",0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20120814_336,_Technician,_Gr._7.docx",20120814_336_Technician_Gr._7_CU_14Aug12.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20121004_336,_Technician,_Gr._7.doc.doc",20120814_00096592_Technician.doc,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20121004_336,_Technician,_Gr._7.doc.doc","20120814_336,_Technician,_Gr._7.doc",0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20121004_336,_Technician,_Gr._7.doc.doc","20120814_336,_Technician,_Gr._7.docx",0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
"20121004_336,_Technician,_Gr._7.doc.doc",20120814_336_Technician_Gr._7_CU_14Aug12.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20140212_00114898_Human_Resources_Assistant.docx,20161003_00114898_Human_Resources_Assistant.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20170516_APSA_20200923.docx,20190829_APSA_20200923.docx,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
20170731_00096527_JDFN.doc,20180430_00096527_JDFN.doc,0.0700,0.0000,0.0000,0.7000,unmapped,unmapped,True,False,
